# Directed graph (each unordered pair of nodes is saved once): p2p-Gnutella04.-acyclic.txt
# Nodes: 10876 Edges: 31478
# FromNodeId	ToNodeId
5586	260
260	162
162	570
570	1247
570	1349
1349	2458
2458	1221
2458	1251
2458	2188
2458	2347
2347	3269
3269	1099
2458	3423
2458	3527
2458	4141
2458	4815
2458	4816
4816	978
4816	1176
1176	3091
1176	3092
4816	1883
1883	2119
2119	300
300	861
300	1094
1094	360
360	411
411	4
411	129
129	2518
2518	1013
2518	1477
2518	1985
2518	2220
2220	6
2220	118
118	368
118	369
369	80
80	232
80	233
80	234
234	92
92	164
92	275
275	149
275	431
275	997
275	998
275	999
275	1000
275	1001
275	1002
275	1003
1003	342
1003	567
567	367
567	547
547	1713
1713	564
1713	1034
1034	2478
1713	1636
1713	1879
1713	2320
1713	2794
1713	3148
1713	3924
3924	1733
3924	1802
3924	2626
2626	407
407	363
407	695
695	903
407	877
407	884
407	1362
407	1363
1363	402
1363	796
1363	1398
1363	2265
2265	2272
2265	3388
2265	3583
3583	131
131	140
131	328
328	164
328	272
272	765
765	67
765	68
765	422
765	1152
1152	5863
5863	374
5863	643
5863	687
5863	2137
2137	2191
2191	395
2191	638
638	282
282	50
638	898
898	2824
638	1950
638	1951
638	1952
1952	1953
1953	1012
1953	1062
1953	1773
1953	2684
2684	1191
1191	2177
2684	2898
2898	1529
1529	870
870	268
268	215
268	967
967	350
967	946
946	367
946	702
702	478
702	1808
1808	317
317	830
830	481
830	685
685	2086
685	2087
685	2088
685	2089
685	2090
685	2091
2091	2086
2091	2087
2091	2088
2091	2089
2091	3876
2091	4293
2091	4431
2091	4432
685	2092
2092	643
2092	644
685	2093
2093	4403
4403	554
4403	1982
4403	2367
2367	1217
2367	1795
1795	834
1795	838
838	415
415	1527
838	2402
838	2403
2403	263
263	114
263	481
263	1093
263	1588
1588	342
1588	439
439	117
439	612
439	803
439	1196
439	1480
439	1481
439	1482
439	1483
439	1484
439	1485
1588	461
1588	1443
1443	170
170	78
78	490
78	491
78	492
170	715
170	716
716	251
251	859
859	133
133	1210
133	1755
1755	94
94	299
299	1117
1117	137
137	289
289	370
289	386
386	311
311	970
311	3091
311	3216
311	3323
311	3324
311	3325
311	3326
311	3327
311	3328
386	646
386	1020
386	1091
386	1119
386	1327
1327	177
177	4
1327	375
375	346
346	1228
1228	997
1228	1116
1116	742
1116	850
850	1819
1819	27
1819	79
1819	863
1819	872
1819	875
1819	879
1819	880
1819	3084
3084	443
3084	664
