# Directed graph (each unordered pair of nodes is saved once): soc-Epinions1.-acyclic.txt
# Nodes: 75888 Edges: 258570
# FromNodeId	ToNodeId
151	0
0	4
4	1
1	3
3	5
5	2
2	12
12	10
10	7
7	8
8	31
31	9
9	33
33	11
11	6
6	61
61	15
15	18
18	59
59	28
28	20
20	19
19	22
22	21
21	27
27	14
14	96
96	24
24	29
29	25
25	16
16	32
32	30
30	26
26	34
34	37
37	38
38	42
42	41
41	53
53	43
43	48
48	40
40	54
54	81
81	44
44	13
13	118
118	58
58	63
63	51
51	35
35	36
36	52
52	49
49	46
46	65
65	39
39	57
57	76
76	50
50	47
47	66
66	45
45	71
71	60
60	74
74	55
55	72
72	67
67	83
83	86
86	79
79	68
68	90
90	64
64	715
715	78
78	77
77	102
102	69
69	93
93	73
73	87
87	109
109	100
100	75
75	82
82	103
103	88
88	89
89	106
106	116
116	104
104	97
97	101
101	91
91	120
120	85
85	105
105	113
113	92
92	237
237	117
117	108
108	119
119	98
98	107
107	124
124	110
110	122
122	123
123	125
125	210
210	111
111	115
115	136
136	128
128	112
112	143
143	127
127	23
23	135
135	80
80	306
306	340
340	169
169	147
147	388
388	243
243	211
211	165
165	155
155	156
156	154
154	141
141	62
62	195
195	172
172	277
277	164
164	296
296	289
289	94
94	215
215	138
138	374
374	130
130	225
225	140
140	99
99	442
442	193
193	185
185	168
168	167
167	145
145	146
146	242
242	252
252	208
208	295
295	414
414	163
163	150
150	365
365	114
114	223
223	126
126	297
297	187
187	132
132	133
133	137
137	368
368	319
319	222
222	180
180	331
331	203
203	198
198	370
370	301
301	139
139	142
142	383
383	213
213	131
131	235
235	249
249	233
233	283
283	326
326	159
159	310
310	192
192	190
190	372
372	345
345	191
191	329
329	299
299	330
330	70
70	236
236	316
316	250
250	287
287	302
302	357
357	212
212	229
229	610
610	199
199	248
248	303
303	369
369	398
398	312
312	261
261	360
360	286
286	320
320	186
186	405
405	254
254	282
282	134
134	446
446	84
84	703
703	417
417	378
378	376
376	325
325	395
395	279
279	153
153	450
450	334
334	251
251	294
294	238
238	392
392	735
735	216
216	257
257	217
217	349
349	354
354	291
291	161
161	403
403	323
323	390
390	363
363	420
420	359
359	350
350	300
300	333
333	335
335	327
327	366
366	234
234	241
241	342
342	239
239	389
389	492
492	194
194	385
385	382
382	270
270	371
371	293
293	401
401	339
339	175
175	418
418	375
375	367
367	362
362	219
219	419
419	426
426	201
201	317
317	449
449	384
384	386
386	228
228	356
356	394
394	402
402	344
344	245
245	269
269	550
550	351
351	408
408	318
318	158
158	427
427	255
255	563
563	311
311	434
434	189
189	421
421	400
400	149
149	716
716	443
443	407
407	380
380	454
454	447
447	166
166	314
314	545
545	205
205	377
377	346
346	396
396	290
290	438
438	433
433	381
381	411
411	391
391	288
288	348
348	307
307	404
404	409
409	436
436	721
721	588
588	431
431	432
432	424
424	183
183	232
232	246
246	410
410	406
406	428
428	452
452	415
415	364
364	553
553	547
547	315
315	305
305	560
560	397
397	640
640	413
413	332
332	445
445	197
197	341
341	441
441	466
466	549
549	546
546	353
353	534
534	281
281	737
737	429
429	453
453	717
717	697
697	732
732	358
358	440
440	551
551	338
338	879
879	639
639	207
207	700
700	555
555	416
416	664
664	422
422	558
558	554
554	630
630	556
556	632
632	552
552	343
343	481
481	529
529	557
557	285
285	584
584	244
244	536
536	576
576	548
576	586
586	637
637	224
224	1218
1218	582
582	475
475	725
725	313
313	324
324	478
478	607
607	17
17	696
696	456
456	455
455	457
457	1009
1009	184
184	2619
2619	645
645	178
178	532
532	611
611	444
444	516
516	649
649	451
451	328
328	508
508	425
425	681
681	729
729	730
730	653
653	437
437	247
247	778
778	845
845	439
439	95
95	379
379	530
530	399
399	684
684	541
541	723
723	565
565	569
569	724
724	544
544	689
689	336
336	709
709	665
665	667
667	448
448	540
540	883
883	548
883	566
566	982
982	726
726	733
733	685
685	597
597	559
559	430
430	854
854	722
722	485
485	579
579	539
539	523
523	617
617	562
562	548
562	779
779	620
620	599
599	680
680	624
624	548
624	590
590	473
473	575
575	500
500	625
625	423
423	548
423	564
564	561
561	657
657	824
824	548
824	612
612	284
284	1143
1143	720
720	387
387	615
615	965
965	596
596	746
746	267
267	5117
5117	548
5117	609
609	663
663	505
505	923
923	181
181	581
581	844
844	712
712	626
626	672
672	469
469	766
766	188
188	701
701	788
788	548
788	629
629	482
482	6212
6212	634
634	206
206	765
765	393
393	1346
1346	686
686	704
704	671
671	791
791	780
780	3321
3321	650
650	622
622	699
699	373
373	971
971	548
971	763
763	202
202	916
916	843
843	643
643	973
973	846
846	849
849	850
850	913
913	727
727	548
727	644
644	669
669	655
655	659
659	656
656	677
677	666
666	828
828	702
702	736
736	1516
1516	606
606	678
678	707
707	769
769	822
822	728
728	548
728	592
592	589
589	1178
1178	745
745	782
782	783
783	1012
1012	925
925	776
776	518
518	598
598	983
983	775
775	129
129	771
771	682
682	652
652	647
647	660
660	654
654	661
661	662
662	787
787	618
618	627
627	631
631	628
628	641
641	651
651	548
651	683
683	718
718	748
748	602
602	768
768	691
691	1014
1014	570
570	519
519	738
738	548
738	719
719	860
860	847
847	918
918	548
918	713
713	851
851	548
851	793
793	676
676	790
790	548
790	773
773	753
753	2281
2281	292
292	830
830	1075
1075	863
863	938
938	1617
1617	548
1617	692
692	1172
1172	352
352	694
694	711
711	947
947	688
688	952
952	412
412	687
687	2969
2969	276
276	1024
1024	993
993	927
927	786
786	673
673	853
853	591
591	548
591	980
980	912
912	942
942	226
226	1108
1108	902
902	1013
1013	858
858	974
974	594
594	526
526	260
260	1027
1027	979
979	926
926	1128
1128	796
796	1005
1005	1129
1129	543
543	616
616	784
784	679
679	794
794	792
792	658
658	1106
1106	548
1106	829
829	548
829	731
731	514
514	975
975	548
975	848
848	121
121	1435
1435	969
969	1111
1111	675
675	955
955	825
825	826
826	909
909	705
705	762
762	777
777	3174
3174	994
994	1015
1015	1191
1191	789
789	873
873	1184
1184	435
435	1248
1248	852
852	537
537	966
966	1032
1032	901
901	1021
1021	888
888	985
985	548
985	987
987	1147
1147	587
587	1112
1112	981
981	1029
1029	322
322	2867
2867	751
751	781
781	487
487	1031
1031	1085
1085	976
976	910
910	1163
1163	818
818	693
693	1000
1000	1268
1268	1815
1815	911
911	896
896	1398
1398	1174
1174	548
1174	636
636	1037
1037	1056
1056	1003
1003	832
832	1189
1189	484
484	1152
1152	838
838	804
804	812
812	221
221	1301
1301	887
887	479
887	890
890	1016
1016	635
635	907
907	355
355	805
805	1622
1622	1323
1323	1020
1020	1036
1036	321
321	1763
1763	808
808	972
972	999
999	998
998	1004
1004	862
862	1247
1247	932
932	1206
1206	548
1206	989
989	1026
1026	1167
1167	996
996	917
917	954
954	944
944	1299
1299	1239
1239	2058
2058	1173
1173	361
361	1181
1181	1023
1023	1164
1164	1179
1179	1207
1207	1274
1274	997
997	548
997	988
988	548
988	1177
1177	548
1177	1186
1186	1126
1126	1107
1107	1008
1008	1124
1124	1122
1122	1125
1125	1403
1403	1190
1190	864
864	1503
1503	1241
1241	1753
1753	1401
1401	986
1401	1018
1018	986
1018	1123
1123	1246
1246	1033
1033	308
308	956
956	1182
1182	991
991	837
837	802
802	957
957	953
953	1011
1011	548
1011	1002
1002	1006
1006	1751
1751	1390
1390	1176
1176	1623
1623	1025
1025	1109
1109	1224
1224	1304
1304	1255
1255	930
930	1458
1458	1324
1324	961
961	1313
1313	614
614	548
614	1432
1432	1185
1185	1396
1396	600
600	646
646	708
708	298
298	1315
1315	1166
1166	1022
1022	1019
1019	1156
1156	483
483	1322
1322	1105
1105	946
946	1028
1028	1171
1171	1439
1439	1288
1288	1397
1397	1035
1035	1520
1520	1276
1276	1501
1501	898
898	1069
1069	840
840	1249
1249	548
1249	1230
1230	1219
1219	1541
1541	670
670	1498
1498	1077
1077	2195
2195	1400
1400	1296
1296	1699
1699	548
1699	827
827	920
920	1434
1434	1240
1240	1646
1646	1392
1392	1405
1405	1433
1433	1402
1402	1411
1411	1283
1283	1238
1238	1264
1264	795
795	1253
1253	1263
1263	1233
1233	2115
2115	674
674	613
613	548
613	2006
2006	1764
1764	903
903	497
497	601
601	1589
1589	891
891	1046
1046	1114
1114	1329
1329	1120
1120	978
978	1259
1259	1243
1243	1305
1305	1192
1192	1582
1582	1309
1309	1272
1272	1312
1312	750
750	2027
2027	1580
1580	517
517	3173
3173	1170
1170	1256
1256	1742
1742	2227
2227	1471
1471	1368
1368	934
934	1504
1504	1394
1394	1470
1470	1393
1393	1254
1254	984
984	3932
3932	1316
1316	1649
1649	1200
1200	747
747	1110
1110	1353
1353	1161
1161	1438
1438	1404
1404	1409
1409	770
770	499
499	1472
1472	1399
1399	1606
1606	1407
1407	1412
1412	1408
1408	1436
1436	1406
1406	1314
1314	309
309	1290
1290	2729
2729	548
2729	874
874	1647
1647	573
573	990
990	280
280	1258
1258	739
739	572
572	2217
2217	1300
1300	2028
2028	1521
1521	1410
1410	1443
1443	831
831	995
995	1133
1133	1531
1531	548
1531	1359
1359	1755
1755	1574
1574	1577
1577	1437
1437	1776
1776	1429
1429	1030
1030	1719
1719	1619
1619	1576
1576	1044
1044	1045
1045	1102
1102	742
742	2034
2034	1507
1507	1180
1180	1497
1497	1440
1440	1379
1379	642
642	1059
1059	964
964	839
839	836
836	1778
1778	1613
1613	1575
1575	1175
1175	1712
1712	1001
1001	1169
1169	1752
1752	1229
1229	1620
1620	1430
1430	1519
1519	1445
1445	1083
1083	200
200	881
881	1483
1483	535
535	2991
2991	1906
1906	1621
1621	1523
1523	1495
1495	1475
1475	1352
1352	1271
1271	2435
2435	1064
1064	2553
2553	1882
1882	1614
1614	1749
1749	1446
1446	1319
1319	1417
1417	3016
3016	1596
1596	496
496	4256
4256	7692
7692	2066
2066	749
749	1522
1522	1894
1894	1512
1512	1514
1514	1552
1552	1629
1629	1463
1463	1490
1490	813
813	262
262	1389
1389	803
803	2752
2752	1909
1909	870
870	2478
2478	1448
1448	1537
1537	503
503	11110
1537	785
785	1840
1840	1428
1428	1510
1510	1265
1265	1975
1975	1201
1201	2816
2816	1275
1275	1127
